"family","length_a","length_b","width_a","width_b","nse_length","nse_width"
"Acanthuridae",2.80007807875338,1.28606218371561,6.57037779186244,0.967711246200171,0.416,0.28
"Apogonidae",1.6922865572079,0.98547760373364,3.42837552318576,0.774032284992137,0.908,0.785
"Atherinidae",1.52476669060924,1.52458563668467,4.88576627382742,0.772929400039996,0.86,0.862
"Batrachoididae",1.14862141321037,1.49540429521071,4.62479860746224,0.939113820008991,0.861,0.263
"Belonidae",9.66711024934219,1.03570377335939,20.3155221382306,0.949264229569019,0.812,0.78
"Blenniidae",4.87516952117516,1.12440170105937,8.77079163387633,1.21584253605158,0.751,0.719
"Bothidae",4.7610524921373,0.987541553727117,6.88471967831823,1.06637023325443,0.714,0.664
"Bythitidae",1.61833027735203,1.31610377063905,3.73679351896613,1.43193551177171,0.954,0.93
"Carangidae",5.92460386241982,0.916653826765941,16.3105235807162,0.629896482928232,0.406,0.17
"Carapidae",6.07384559030027,0.634672962245934,8.63992082313083,0.699922565887557,0.798,0.683
"Chaetodontidae",2.29683687989887,1.20674503786446,5.08490094254482,1.06847618771757,0.59,0.469
"Clupeidae",8.70102447557514,0.697210230676672,13.6863731757011,0.813750084276965,0.395,0.449
"Congridae",7.89619249582863,0.875989637155387,23.4272956504874,0.469078912082099,0.497,0.228
"Engraulidae",3.24138989397682,1.1157504958342,9.85343451213795,0.614137890914018,0.922,0.664
"Gerreidae",2.72459623461088,1.04307690415638,4.34631647956136,0.988133419021985,0.592,0.423
"Gobiidae",2.65304270502266,1.06323657380302,3.40130820679667,0.991720217982154,0.859,0.821
"Haemulidae",1.97790893794526,1.08642609636627,6.18270126604932,0.740892057748084,0.748,0.381
"Labridae",5.62442332788515,0.877819856317733,9.4405220403178,0.833994463402988,0.692,0.591
"Lutjanidae",2.47923007685086,1.00761404348566,5.8316559955235,0.875838948495635,0.754,0.733
"Mugilidae",2.10928176596052,1.29400897940488,5.1554722234901,1.268839143555,0.822,0.908
"Mullidae",4.32051247237615,1.11878800747346,6.21186115884822,1.16464582457465,0.57,0.59
"Muraenidae",27.407683472194,0.705522598837892,41.4361240048785,0.731325759224029,0.508,0.518
"Ophidiidae",2.10494162654484,1.20036459261172,2.01632785348115,1.70297116203248,0.646,0.701
"Peristediidae",2.60464613773363,1.34933852086507,5.8548588652334,1.20304261483367,0.627,0.482
"Pomacanthidae",0.959069891821914,1.61587704781674,1.12854503904373,1.95112204833056,0.826,0.849
"Pomacentridae",3.43570421498728,0.889058234998594,6.35682007821497,0.577155017208442,0.662,0.377
"Scaridae",7.11843720331578,0.842769519222306,12.5855346101133,0.670056013074964,0.597,0.425
"Sciaenidae",1.57700943224808,1.15326064336559,4.29994251730806,0.991272374417249,0.756,0.522
"Scorpaenidae",2.28547267910486,1.04171765770274,5.49695262863695,0.946593843131175,0.784,0.753
"Serranidae",2.53641792508848,1.07861143302651,6.22992601884807,1.01359252055946,0.767,0.736
"Sparidae",1.53205602529628,1.30813714718466,4.01883690547048,1.13279197063703,0.812,0.611
"Synodontidae",11.286683979511,0.504598269543629,15.4207379531936,0.567316217396702,0.455,0.387
"Aggregate Model",4.84497941255417,0.79465593659504,9.48815253728975,0.686349535083175,0.537174251385197,0.332011213782933
