"age_group","Sample_ID","family","Ot_length_mm","Ot_width_mm","Fish_total_length_cm","Biomass_g","mean_troph","n_otoliths_by_ageGroup","family_count_by_ageGroup","family_percentage_by_ageGroup"
"Late Miocene","SP25-19-01","Haemulidae",2.193,1.686,4.64215419842864,1.74238544633893,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.312,0.969,2.65663988783811,0.323033256082027,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.176,0.867,2.3588408744459,0.225598466325532,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.83,1.325,3.81364273785644,0.962359193665631,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.814,1.351,3.77743140310627,0.935030928307949,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.595,1.119,3.28466282362072,0.613087379244371,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",0.984,0.723,1.94355119624351,0.125714319662795,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Haemulidae",1.299,1.023,2.62805372679261,0.312651182794802,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-01","Gobiidae",1.053,1.194,2.80279223252224,0.219622876797333,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",1.05,1.029,2.79430288058981,0.21762235447603,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",1.103,1.141,2.94450355291473,0.254856330762496,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",1.411,1.247,3.82584023797735,0.561462264597678,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",0.881,0.891,2.31867892212455,0.123955152558586,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",0.997,0.955,2.64458107237137,0.184313918306703,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",0.894,0.859,2.35507374541707,0.129917649075901,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",1.602,1.459,4.37873747927111,0.843638610691921,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Gobiidae",0.721,0.736,1.87368171380766,0.0651777637761855,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-01","Engraulidae",NA,0.689,7.83848133755657,4.61949549981567,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-01","Engraulidae",2.143,1.138,7.58698849006544,4.16285316399619,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-01","Paralichthyidae",1.154,1.068,5.42905387325647,1.84757001151412,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-01","Apogonidae",1,0.722,1.6922865572079,0.0800782725829152,3.42222222222222,135,5,3.7037037037037
"Late Miocene","SP25-19-02","Gobiidae",1.024,0.981,2.7207931863045,0.20080668086467,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",0.79,0.912,2.06489332326809,0.0873781612981846,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",1.342,1.347,3.62723244874491,0.478060991577054,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",1.448,1.337,3.93259529785446,0.61006421060068,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",0.997,1.082,2.64458107237137,0.184313918306703,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",0.721,0.8,1.87368171380766,0.0651777637761855,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",0.688,0.633,1.78263458579443,0.0560842809302725,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Gobiidae",0.676,0.798,1.74959427259199,0.05300682904653,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-02","Haemulidae",1.447,1.038,2.95490479551159,0.445433249911422,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.153,0.732,2.30876253278796,0.211444260273223,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.4,1.078,2.85077935065848,0.39970402983024,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",0.978,0.775,1.93067944424,0.123217082572163,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.239,0.716,2.49644147431319,0.267722898748862,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.221,0.903,2.45706391186497,0.255173625910946,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.738,1.268,3.60580826491328,0.81254889680041,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.364,0.982,2.77122726415735,0.366964422175442,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Haemulidae",1.276,0.899,2.57753889777045,0.294854889258735,3.66931034482759,135,30,22.2222222222222
"Late Miocene","SP25-19-02","Ophidiidae",2.181,1.251,5.36723148723977,1.11110359470958,3.724,135,4,2.96296296296296
"Late Miocene","SP25-19-03","Engraulidae",2.31,1.226,8.249573962266,5.43814199910276,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Engraulidae",NA,0.763,8.34529132512268,5.64210615231035,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Engraulidae",NA,0.752,8.27119615091261,5.48376640549526,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Engraulidae",NA,1.081,10.3362088242997,11.169141981045,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Engraulidae",NA,0.842,8.86582102514587,6.84404504110806,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Engraulidae",1.679,1.012,5.7787206349022,1.74583600941772,3.24499999364217,135,12,8.88888888888889
"Late Miocene","SP25-19-03","Apogonidae",0.947,0.641,1.60386325835698,0.0678925538291569,3.42222222222222,135,5,3.7037037037037
"Late Miocene","SP25-19-03","Congridae",2.444,1.714,17.2738982815872,7.71255254346841,3.872,135,3,2.22222222222222
"Late Miocene","SP25-19-03","Congridae",3.286,2.817,22.3878895046598,17.188733301407,3.872,135,3,2.22222222222222
"Late Miocene","SP25-19-03","Gobiidae",0.66,0.792,1.70559829425865,0.0490870678196886,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Gobiidae",0.987,1.094,2.61638728311298,0.178450007623272,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Gobiidae",0.708,0.784,1.83778251576762,0.0614830464720255,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Gobiidae",0.756,0.828,1.97053508032024,0.0758798665556095,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Gobiidae",0.656,0.656,1.69460977109439,0.0481392722090447,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Gobiidae",0.688,0.676,1.78263458579443,0.0560842809302725,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-03","Opistognathidae",2.192,1.277,9.03946863749145,8.94517666152689,3.69666666666667,135,3,2.22222222222222
"Late Miocene","SP25-19-03","Paralichthyidae",0.915,0.872,4.51476323023085,1.01406740579065,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-03","Paralichthyidae",1.863,1.609,7.94361496412916,6.37251199807595,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-03","Batrachoididae",1.133,1.217,1.38443493087919,0.0236998128233838,3.70666666666667,135,1,0.740740740740741
"Late Miocene","SP25-19-04","Gobiidae",0.643,0.722,1.65892645403919,0.0451459631070995,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-04","Gobiidae",0.869,0.98,2.28511381941997,0.118620979161789,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-04","Gobiidae",0.778,0.823,2.03156050359636,0.0831921633967481,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-04","Gobiidae",0.677,0.857,1.75234622464483,0.053258731896903,3.11466666666667,135,62,45.9259259259259
"Late Miocene","SP25-19-04","Paralichthyidae",1.1,1.012,5.2261862016203,1.63229189726377,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-04","Paralichthyidae",1.016,0.928,4.90648032789457,1.32927872570626,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-04","Paralichthyidae",0.697,0.691,3.63677080857277,0.501814802825208,3.952,135,8,5.92592592592593
"Late Miocene","SP25-19-05","Congridae",2.091,1.338,15.0676158785707,5.05589212116655,3.872,135,3,2.22222222222222
"Late Miocene","SP25-19-05","Engraulidae",2.24,1.212,7.9711443498585,4.87369725135485,3.24499999364217,135,12,8.88888888888889
